input,output
"# Context:
Each of exactly six doctors—Juarez, Kudrow, Longtree, Nance, Onawa, and Palermo—is at exactly one of two clinics: Souderton or Randsborough. The following conditions must be satisfied: Kudrow is at Randsborough if Juarez is at Souderton. Onawa is at Souderton if Juarez is at Randsborough. If Longtree is at Souderton, then both Nance and Palermo are at Randsborough. If Nance is at Randsborough, then so is Onawa. If Palermo is at Randsborough, then both Kudrow and Onawa are at Souderton.

# Question:
If Nance and Onawa are at different clinics, which one of the following must be true?

# Options:
A) Juarez is at Souderton.
B) Kudrow is at Souderton.
C) Palermo is at Randsborough.
D) Four doctors are at Souderton.
E) Four doctors are at Randsborough.","# Declarations
doctors = EnumSort([Juarez, Kudrow, Longtree, Nance, Onawa, Palermo])
clinics = EnumSort([Souderton, Randsborough])
assigned = Function([doctors] -> [clinics])
# Constraints
Implies(assigned(Juarez) == Souderton, assigned(Kudrow) == Randsborough) ::: Kudrow is at Randsborough if Juarez is at Souderton
Implies(assigned(Juarez) == Randsborough, assigned(Onawa) == Souderton) ::: Onawa is at Souderton if Juarez is at Randsborough
Implies(assigned(Longtree) == Souderton, And(assigned(Nance) == Randsborough, assigned(Palermo) == Randsborough)) ::: If Longtree is at Souderton, then both Nance and Palermo are at Randsborough
Implies(assigned(Nance) == Randsborough, assigned(Onawa) == Randsborough) ::: If Nance is at Randsborough, then so is Onawa
Implies(assigned(Palermo) == Randsborough, And(assigned(Kudrow) == Souderton, assigned(Onawa) == Souderton)) ::: If Palermo is at Randsborough, then both Kudrow and Onawa are at Souderton
assigned(Nance) != assigned(Onawa) ::: Nance and Onawa are at different clinics
# Options
is_valid(assigned(Juarez) == Souderton) ::: (A)
is_valid(assigned(Kudrow) == Souderton) ::: (B)
is_valid(assigned(Palermo) == Randsborough) ::: (C)
is_valid(Count([d:doctors], assigned(d) == Souderton) == 4) ::: (D)
is_valid(Count([d:doctors], assigned(d) == Randsborough) == 4) ::: (E)"
"# Context:
An airline has four flights from New York to Sarasota—flights 1, 2, 3, and 4. On each flight there is exactly one pilot and exactly one co-pilot. The pilots are Fazio, Germond, Kyle, and Lopez; the co-pilots are Reich, Simon, Taylor, and Umlas. Each pilot and co-pilot is assigned to exactly one flight. The flights take off in numerical order. Fazio's flight takes off before Germond's, and at least one other flight takes off between their flights. Kyle is assigned to flight 2. Lopez is assigned to the same flight as Umlas.

# Question:
What is the maximum possible number of different pilot and co-pilot teams, any one of which could be assigned to flight 4?

# Options:
A) 2
B) 3
C) 4
D) 5
E) 6","# Declarations
flights = EnumSort([flight1, flight2, flight3, flight4])
pilots = EnumSort([Fazio, Germond, Kyle, Lopez])
co_pilots = EnumSort([Reich, Simon, Taylor, Umlas])
assigned_pilot = Function([flights] -> [pilots])
assigned_co_pilot = Function([flights] -> [co_pilots])
# Constraints
ForAll([f:flights], Exists([p:pilots], assigned_pilot(f) == p)) ::: Each flight has exactly one pilot
ForAll([f:flights], Exists([cp:co_pilots], assigned_co_pilot(f) == cp)) ::: Each flight has exactly one co-pilot
assigned_pilot(flight2) == Kyle ::: Kyle is assigned to flight 2
assigned_pilot(flight1) == Fazio ::: Fazio's flight takes off before Germond's
assigned_pilot(flight3) == Germond ::: at least one other flight takes off between their flights
assigned_pilot(flight4) == Lopez ::: Lopez is assigned to the same flight as Umlas
assigned_co_pilot(flight4) == Umlas ::: Lopez is assigned to the same flight as Umlas
# Options
is_valid(Count([p:pilots, cp:co_pilots], And(assigned_pilot(flight4) == p, assigned_co_pilot(flight4) == cp)) == 2) ::: (A)
is_valid(Count([p:pilots, cp:co_pilots], And(assigned_pilot(flight4) == p, assigned_co_pilot(flight4) == cp)) == 3) ::: (B)
is_valid(Count([p:pilots, cp:co_pilots], And(assigned_pilot(flight4) == p, assigned_co_pilot(flight4) == cp)) == 4) ::: (C)
is_valid(Count([p:pilots, cp:co_pilots], And(assigned_pilot(flight4) == p, assigned_co_pilot(flight4) == cp)) == 5) ::: (D)
is_valid(Count([p:pilots, cp:co_pilots], And(assigned_pilot(flight4) == p, assigned_co_pilot(flight4) == cp)) == 6) ::: (E)"
"# Context:
A car drives into the center ring of a circus and exactly eight clowns—Q, R, S, T, V, W, Y, and Z—get out of the car, one clown at a time. The order in which the clowns get out of the car is consistent with the following conditions: V gets out at some time before both Y and Q. Q gets out at some time after Z. T gets out at some time before V but at some time after R. S gets out at some time after V. R gets out at some time before W.

# Question:
Which one of the following could be true?

# Options:
A) Y is the second clown to get out of the car.
B) R is the third clown to get out of the car.
C) Q is the fourth clown to get out of the car.
D) S is the fifth clown to get out of the car.
E) V is the sixth clown to get out of the car.","# Declarations
clowns = EnumSort([Q, R, S, T, V, W, Y, Z])
order = Function([clowns] -> [int])
# Constraints
order(V) < order(Y) ::: V gets out at some time before both Y and Q
order(V) < order(Q) ::: V gets out at some time before both Y and Q
order(Q) > order(Z) ::: Q gets out at some time after Z
order(T) < order(V) ::: T gets out at some time before V but at some time after R
order(T) > order(R) ::: T gets out at some time before V but at some time after R
order(S) > order(V) ::: S gets out at some time after V
order(R) < order(W) ::: R gets out at some time before W
# Options
is_sat(order(Y) == 2) ::: (A)
is_sat(order(R) == 3) ::: (B)
is_sat(order(Q) == 4) ::: (C)
is_sat(order(S) == 5) ::: (D)
is_sat(order(V) == 6) ::: (E)"
"# Context:
Quentin, Robert, Shiro, Tony, and Umeko are the only members of the Kim family who attend an opera. Each of them sits in a separate seat in either row G or row H, and each sits in a seat numbered 1, 2, or 3. Consecutively numbered seats within each row are adjacent. Each member of the Kim family sits in a seat adjacent to, and in the same row as, at least one other member of the family. Tony and Umeko sit in row H. Shiro and Umeko sit in lower numbered seats than does Tony. Robert sits in the same row as Quentin or Shiro or both. Robert sits in a seat numbered 2.

# Question:
If Tony sits in a seat numbered 2, then which one of the following statements could be false?

# Options:
A) Quentin sits in a seat numbered 3.
B) Umeko sits in a seat numbered 1.
C) Quentin sits in the same row as, and in a seat adjacent to, Robert.
D) Robert sits in the same row as, and in a seat adjacent to, Shiro.
E) Tony sits in the same row as, and in a seat adjacent to, Umeko.","# Declarations
members = EnumSort([Quentin, Robert, Shiro, Tony, Umeko])
rows = EnumSort([G, H])
seats = EnumSort([1, 2, 3])
sits_in_row = Function([members] -> [rows])
sits_in_seat = Function([members] -> [seats])
# Constraints
ForAll([m:members], Exists([m1:members], And(m != m1, sits_in_row(m) == sits_in_row(m1), Or(sits_in_seat(m) == sits_in_seat(m1) + 1, sits_in_seat(m) == sits_in_seat(m1) - 1)))) ::: Each member of the Kim family sits in a seat adjacent to, and in the same row as, at least one other member of the family
sits_in_row(Tony) == H ::: Tony and Umeko sit in row H
sits_in_row(Umeko) == H ::: Tony and Umeko sit in row H
sits_in_seat(Shiro) < sits_in_seat(Tony) ::: Shiro and Umeko sit in lower numbered seats than does Tony
sits_in_seat(Umeko) < sits_in_seat(Tony) ::: Shiro and Umeko sit in lower numbered seats than does Tony
Or(sits_in_row(Robert) == sits_in_row(Quentin), sits_in_row(Robert) == sits_in_row(Shiro), And(sits_in_row(Robert) == sits_in_row(Quentin), sits_in_row(Robert) == sits_in_row(Shiro))) ::: Robert sits in the same row as Quentin or Shiro or both
sits_in_seat(Robert) == 2 ::: Robert sits in a seat numbered 2
sits_in_seat(Tony) == 2 ::: If Tony sits in a seat numbered 2
# Options
is_valid(sits_in_seat(Quentin) == 3) ::: (A)
is_valid(sits_in_seat(Umeko) == 1) ::: (B)
is_valid(And(sits_in_row(Quentin) == sits_in_row(Robert), Or(sits_in_seat(Quentin) == sits_in_seat(Robert) + 1, sits_in_seat(Quentin) == sits_in_seat(Robert) - 1))) ::: (C)
is_valid(And(sits_in_row(Robert) == sits_in_row(Shiro), Or(sits_in_seat(Robert) == sits_in_seat(Shiro) + 1, sits_in_seat(Robert) == sits_in_seat(Shiro) - 1))) ::: (D)
is_valid(And(sits_in_row(Tony) == sits_in_row(Umeko), Or(sits_in_seat(Tony) == sits_in_seat(Umeko) + 1, sits_in_seat(Tony) == sits_in_seat(Umeko) - 1))) ::: (E)"
"# Context:
A total of six books occupies three small shelves—one on the first shelf, two on the second shelf, and three on the third shelf. Two of the books are grammars—one of Farsi, the other of Hausa. Two others are linguistics monographs—one on phonology, the other on semantics. The remaining two books are novels—one by Vonnegut, the other by Woolf. The books' arrangement is consistent with the following: There is at least one novel on the same shelf as the Farsi grammar. The monographs are not both on the same shelf. The Vonnegut novel is not on the same shelf as either monograph.

# Question:
If the Hausa grammar and the phonology monograph are on the same shelf, which one of the following must be true?

# Options:
A) The phonology monograph is on the third shelf.
B) The Vonnegut novel is on the second shelf.
C) The semantics monograph is on the second shelf.
D) The semantics monograph is on the first shelf.
E) The Woolf novel is on the third shelf.","# Declarations
shelves = EnumSort([first, second, third])
books = EnumSort([FarsiGrammar, HausaGrammar, PhonologyMonograph, SemanticsMonograph, VonnegutNovel, WoolfNovel])
located = Function([books] -> [shelves])
# Constraints
located(FarsiGrammar) != located(HausaGrammar) ::: Two of the books are grammars—one of Farsi, the other of Hausa
located(PhonologyMonograph) != located(SemanticsMonograph) ::: Two others are linguistics monographs—one on phonology, the other on semantics
located(VonnegutNovel) != located(PhonologyMonograph) ::: The Vonnegut novel is not on the same shelf as either monograph
located(VonnegutNovel) != located(SemanticsMonograph) ::: The Vonnegut novel is not on the same shelf as either monograph
Exists([b:books], And(b == VonnegutNovel or b == WoolfNovel, located(b) == located(FarsiGrammar))) ::: There is at least one novel on the same shelf as the Farsi grammar
located(HausaGrammar) == located(PhonologyMonograph) ::: If the Hausa grammar and the phonology monograph are on the same shelf
# Options
is_valid(located(PhonologyMonograph) == third) ::: (A)
is_valid(located(VonnegutNovel) == second) ::: (B)
is_valid(located(SemanticsMonograph) == second) ::: (C)
is_valid(located(SemanticsMonograph) == first) ::: (D)
is_valid(located(WoolfNovel) == third) ::: (E)"
"# Context:
Each of seven television programs—H, J, L, P, Q, S, V—is assigned a different rank: from first through seventh (from most popular to least popular). The ranking is consistent with the following conditions: J and L are each less popular than H. J is more popular than Q. S and V are each less popular than L. P and S are each less popular than Q. S is not seventh.

# Question:
If V is more popular than Q and J is less popular than L, then which one of the following could be true of the ranking?

# Options:
A) P is more popular than S.
B) S is more popular than V.
C) P is more popular than L.
D) J is more popular than V.
E) Q is more popular than V.","# Declarations
programs = EnumSort([H, J, L, P, Q, S, V])
rank = Function([programs] -> [int])
# Constraints
ForAll([p1:programs, p2:programs], Implies(p1 != p2, rank(p1) != rank(p2))) ::: Each program is assigned a different rank
rank(J) < rank(H) ::: J is less popular than H
rank(L) < rank(H) ::: L is less popular than H
rank(J) > rank(Q) ::: J is more popular than Q
rank(S) < rank(L) ::: S is less popular than L
rank(V) < rank(L) ::: V is less popular than L
rank(P) < rank(Q) ::: P is less popular than Q
rank(S) < rank(Q) ::: S is less popular than Q
rank(S) != 7 ::: S is not seventh
rank(V) > rank(Q) ::: V is more popular than Q
rank(J) < rank(L) ::: J is less popular than L
# Options
is_valid(rank(P) > rank(S)) ::: (A)
is_valid(rank(S) > rank(V)) ::: (B)
is_valid(rank(P) > rank(L)) ::: (C)
is_valid(rank(J) > rank(V)) ::: (D)
is_valid(rank(Q) > rank(V)) ::: (E)"
"# Context:
Jill, Kurt, Larisa, Manny, and Olga are the clerks in a supermarket. The supermarket has exactly nine parallel aisles, numbered consecutively 1 through 9 from one end of the store to the other. Each aisle is stocked by exactly one clerk and no clerk stocks more than two aisles. Stocking assignments must meet the following conditions: Olga stocks exactly one aisle. Kurt stocks aisle 2. Manny does not stock aisle 1. Jill does not stock consecutive aisles. Kurt stocks the only aisle between the two aisles Manny stocks. Exactly one of Larisa's aisles is an end aisle. Olga's aisle is numbered higher than either of Kurt's aisles, and lower than at least one of Larisa's.

# Question:
Which one of the following clerks could stock two consecutive aisles?

# Options:
A) Jill
B) Kurt
C) Larisa
D) Manny
E) Olga","# Declarations
clerks = EnumSort([Jill, Kurt, Larisa, Manny, Olga])
aisles = EnumSort([1, 2, 3, 4, 5, 6, 7, 8, 9])
stocks = Function([clerks] -> [aisles])
# Constraints
ForAll([a:aisles], Exists([c:clerks], stocks(c) == a)) ::: Each aisle is stocked by exactly one clerk
Count([a:aisles], stocks(Olga) == a) == 1 ::: Olga stocks exactly one aisle
stocks(Kurt) == 2 ::: Kurt stocks aisle 2
ForAll([a:aisles], stocks(Manny) != 1) ::: Manny does not stock aisle 1
ForAll([a:aisles], Implies(stocks(Jill) == a, Not(Exists([a1:aisles], And(a1 == a + 1, stocks(Jill) == a1))))) ::: Jill does not stock consecutive aisles
Exists([a:aisles], And(stocks(Manny) == a, stocks(Kurt) == a + 1)) ::: Kurt stocks the only aisle between the two aisles Manny stocks
Exists([a:aisles], And(stocks(Larisa) == a, Or(a == 1, a == 9))) ::: Exactly one of Larisa's aisles is an end aisle
ForAll([a:aisles], Implies(stocks(Olga) == a, And(a > 2, Exists([a1:aisles], And(stocks(Larisa) == a1, a < a1))))) ::: Olga's aisle is numbered higher than either of Kurt's aisles, and lower than at least one of Larisa's
# Options
is_valid(Exists([a:aisles], And(stocks(Jill) == a, stocks(Jill) == a + 1))) ::: (A)
is_valid(Exists([a:aisles], And(stocks(Kurt) == a, stocks(Kurt) == a + 1))) ::: (B)
is_valid(Exists([a:aisles], And(stocks(Larisa) == a, stocks(Larisa) == a + 1))) ::: (C)
is_valid(Exists([a:aisles], And(stocks(Manny) == a, stocks(Manny) == a + 1))) ::: (D)
is_valid(Exists([a:aisles], And(stocks(Olga) == a, stocks(Olga) == a + 1))) ::: (E)"
"# Context:
A five-week adult education course consists of exactly five lectures with a different lecture given each week. No lecture is given more than once. Each lecture is delivered by a different speaker. The following conditions are true about the speakers and their lectures: Each speaker lectures on a philosopher in whom he or she specializes. No two speakers lecture on the same philosopher. The first week's speaker specializes in Kant, Locke, and Mill, and no other philosophers. The second week's speaker specializes in Kant, Locke, Mill, and Nietzsche, and no other philosophers. The third week's and fourth week's speakers each specialize in Mill and Nietzsche, and no other philosophers. The fifth week's speaker specializes in Nietzsche, Ockham, and Plato, and no other philosophers.

# Question:
Which one of the following, if known, would allow one to determine the entire lecture schedule and identify for each week the philosopher who is lectured on that week?

# Options:
A) the weeks that Kant, Locke, and Mill are lectured on
B) the weeks that Kant, Mill, and Nietzsche are lectured on
C) the weeks that Kant, Mill, and Ockham are lectured on
D) the weeks that Mill, Nietzsche, and Ockham are lectured on
E) the weeks that Mill, Nietzsche, and Plato are lectured on","# Declarations
weeks = EnumSort([week1, week2, week3, week4, week5])
philosophers = EnumSort([Kant, Locke, Mill, Nietzsche, Ockham, Plato])
speakers = EnumSort([speaker1, speaker2, speaker3, speaker4, speaker5])
lectures = Function([weeks] -> [philosophers])
specializes = Function([speakers] -> [philosophers])
# Constraints
ForAll([w:weeks], Exists([p:philosophers], lectures(w) == p)) ::: Each week has exactly one lecture
ForAll([p:philosophers], Exists([w:weeks], lectures(w) == p)) ::: Each philosopher is lectured on exactly once
ForAll([s:speakers], Exists([p:philosophers], specializes(s) == p)) ::: Each speaker specializes in exactly one philosopher
ForAll([p:philosophers], Exists([s:speakers], specializes(s) == p)) ::: Each philosopher is specialized in by exactly one speaker
ForAll([w:weeks], specializes(speaker1) == Kant or specializes(speaker1) == Locke or specializes(speaker1) == Mill) ::: The first week's speaker specializes in Kant, Locke, and Mill
ForAll([w:weeks], specializes(speaker2) == Kant or specializes(speaker2) == Locke or specializes(speaker2) == Mill or specializes(speaker2) == Nietzsche) ::: The second week's speaker specializes in Kant, Locke, Mill, and Nietzsche
ForAll([w:weeks], specializes(speaker3) == Mill or specializes(speaker3) == Nietzsche) ::: The third week's speaker specializes in Mill and Nietzsche
ForAll([w:weeks], specializes(speaker4) == Mill or specializes(speaker4) == Nietzsche) ::: The fourth week's speaker specializes in Mill and Nietzsche
ForAll([w:weeks], specializes(speaker5) == Nietzsche or specializes(speaker5) == Ockham or specializes(speaker5) == Plato) ::: The fifth week's speaker specializes in Nietzsche, Ockham, and Plato
# Options
is_valid(And(Exists([w:weeks], lectures(w) == Kant), Exists([w:weeks], lectures(w) == Locke), Exists([w:weeks], lectures(w) == Mill))) ::: (A)
is_valid(And(Exists([w:weeks], lectures(w) == Kant), Exists([w:weeks], lectures(w) == Mill), Exists([w:weeks], lectures(w) == Nietzsche))) ::: (B)
is_valid(And(Exists([w:weeks], lectures(w) == Kant), Exists([w:weeks], lectures(w) == Mill), Exists([w:weeks], lectures(w) == Ockham))) ::: (C)
is_valid(And(Exists([w:weeks], lectures(w) == Mill), Exists([w:weeks], lectures(w) == Nietzsche), Exists([w:weeks], lectures(w) == Ockham))) ::: (D)
is_valid(And(Exists([w:weeks], lectures(w) == Mill), Exists([w:weeks], lectures(w) == Nietzsche), Exists([w:weeks], lectures(w) == Plato))) ::: (E)"
"# Context:
Each of exactly three parks—Jessup, Island, and Hilltop—has at least one attraction. Each attraction is exactly one of five different types: fountain, garden, museum, playground, or theater. Among the three parks at least one of each type of attraction is included. No two attractions of the same type are included in any park. The following conditions must apply: Each of exactly two parks has a garden. Jessup has a museum but not a theater. Island has exactly one attraction. No park has both a playground and a fountain. Each park that has a theater also has a garden. Each park that has a museum also has a playground.

# Question:
If Hilltop has exactly three attractions, then each of the following could be true EXCEPT:

# Options:
A) Hilltop has a museum.
B) Hilltop has a playground.
C) Island does not have a fountain.
D) Island has a garden.
E) Jessup has a garden.","# Declarations
parks = EnumSort([Jessup, Island, Hilltop])
attractions = EnumSort([fountain, garden, museum, playground, theater])
has_attraction = Function([parks, attractions] -> [bool])
# Constraints
ForAll([p:parks], Exists([a:attractions], has_attraction(p, a))) ::: Each park has at least one attraction
Exists([a:attractions], ForAll([p:parks], Exists([p1:parks], And(p1 != p, has_attraction(p1, a))))) ::: Among the three parks at least one of each type of attraction is included
ForAll([p:parks, a:attractions], Implies(has_attraction(p, a), ForAll([a1:attractions], Implies(a1 == a, Not(has_attraction(p, a1)))))) ::: No two attractions of the same type are included in any park
Count([p:parks], Exists([a:attractions], has_attraction(p, garden))) == 2 ::: Each of exactly two parks has a garden
has_attraction(Jessup, museum) ::: Jessup has a museum
Not(has_attraction(Jessup, theater)) ::: Jessup does not have a theater
Count([a:attractions], has_attraction(Island, a)) == 1 ::: Island has exactly one attraction
ForAll([p:parks], Implies(And(has_attraction(p, playground), has_attraction(p, fountain)), False)) ::: No park has both a playground and a fountain
ForAll([p:parks], Implies(has_attraction(p, theater), has_attraction(p, garden))) ::: Each park that has a theater also has a garden
ForAll([p:parks], Implies(has_attraction(p, museum), has_attraction(p, playground))) ::: Each park that has a museum also has a playground
Count([a:attractions], has_attraction(Hilltop, a)) == 3 ::: Hilltop has exactly three attractions
# Options
is_unsat(has_attraction(Hilltop, museum)) ::: (A)
is_unsat(has_attraction(Hilltop, playground)) ::: (B)
is_unsat(Not(has_attraction(Island, fountain))) ::: (C)
is_unsat(has_attraction(Island, garden)) ::: (D)
is_unsat(has_attraction(Jessup, garden)) ::: (E)"
"# Context:
Each of exactly six doctors—Juarez, Kudrow, Longtree, Nance, Onawa, and Palermo—is at exactly one of two clinics: Souderton or Randsborough. The following conditions must be satisfied: Kudrow is at Randsborough if Juarez is at Souderton. Onawa is at Souderton if Juarez is at Randsborough. If Longtree is at Souderton, then both Nance and Palermo are at Randsborough. If Nance is at Randsborough, then so is Onawa. If Palermo is at Randsborough, then both Kudrow and Onawa are at Souderton.

# Question:
What is the minimum number of doctors that could be at Souderton?

# Options:
A) zero
B) one
C) two
D) three
E) four","# Declarations
doctors = EnumSort([Juarez, Kudrow, Longtree, Nance, Onawa, Palermo])
clinics = EnumSort([Souderton, Randsborough])
assigned = Function([doctors] -> [clinics])
# Constraints
Implies(assigned(Juarez) == Souderton, assigned(Kudrow) == Randsborough) ::: Kudrow is at Randsborough if Juarez is at Souderton
Implies(assigned(Juarez) == Randsborough, assigned(Onawa) == Souderton) ::: Onawa is at Souderton if Juarez is at Randsborough
Implies(assigned(Longtree) == Souderton, And(assigned(Nance) == Randsborough, assigned(Palermo) == Randsborough)) ::: If Longtree is at Souderton, then both Nance and Palermo are at Randsborough
Implies(assigned(Nance) == Randsborough, assigned(Onawa) == Randsborough) ::: If Nance is at Randsborough, then so is Onawa
Implies(assigned(Palermo) == Randsborough, And(assigned(Kudrow) == Souderton, assigned(Onawa) == Souderton)) ::: If Palermo is at Randsborough, then both Kudrow and Onawa are at Souderton
# Options
is_sat(Count([d:doctors], assigned(d) == Souderton) == 0) ::: (A)
is_sat(Count([d:doctors], assigned(d) == Souderton) == 1) ::: (B)
is_sat(Count([d:doctors], assigned(d) == Souderton) == 2) ::: (C)
is_sat(Count([d:doctors], assigned(d) == Souderton) == 3) ::: (D)
is_sat(Count([d:doctors], assigned(d) == Souderton) == 4) ::: (E)"
"# Context:
A car drives into the center ring of a circus and exactly eight clowns—Q, R, S, T, V, W, Y, and Z—get out of the car, one clown at a time. The order in which the clowns get out of the car is consistent with the following conditions: V gets out at some time before both Y and Q. Q gets out at some time after Z. T gets out at some time before V but at some time after R. S gets out at some time after V. R gets out at some time before W.

# Question:
Which one of the following could be the order, from first to last, in which the clowns get out of the car?

# Options:
A) T, Z, V, R, W, Y, S, Q
B) Z, R, W, Q, T, V, Y, S
C) R, W, T, V, Q, Z, S, Y
D) Z, W, R, T, V, Y, Q, S
E) R, W, T, V, Z, S, Y, Q","# Declarations
clowns = EnumSort([Q, R, S, T, V, W, Y, Z])
order = Function([clowns] -> [int])
# Constraints
order(V) < order(Y) ::: V gets out at some time before both Y and Q
order(V) < order(Q) ::: V gets out at some time before both Y and Q
order(Q) > order(Z) ::: Q gets out at some time after Z
order(T) < order(V) ::: T gets out at some time before V but at some time after R
order(T) > order(R) ::: T gets out at some time before V but at some time after R
order(S) > order(V) ::: S gets out at some time after V
order(R) < order(W) ::: R gets out at some time before W
# Options
is_sat(And(order(T) == 1, order(Z) == 2, order(V) == 3, order(R) == 4, order(W) == 5, order(Y) == 6, order(S) == 7, order(Q) == 8)) ::: (A)
is_sat(And(order(Z) == 1, order(R) == 2, order(W) == 3, order(Q) == 4, order(T) == 5, order(V) == 6, order(Y) == 7, order(S) == 8)) ::: (B)
is_sat(And(order(R) == 1, order(W) == 2, order(T) == 3, order(V) == 4, order(Q) == 5, order(Z) == 6, order(S) == 7, order(Y) == 8)) ::: (C)
is_sat(And(order(Z) == 1, order(W) == 2, order(R) == 3, order(T) == 4, order(V) == 5, order(Y) == 6, order(Q) == 7, order(S) == 8)) ::: (D)
is_sat(And(order(R) == 1, order(W) == 2, order(T) == 3, order(V) == 4, order(Z) == 5, order(S) == 6, order(Y) == 7, order(Q) == 8)) ::: (E)"
"# Context:
Exactly seven professors—Madison, Nilsson, Orozco, Paton, Robinson, Sarkis, and Togo—were hired in the years 1989 through 1995. Each professor has one or more specialities, and any two professors hired in the same year or in consecutive years do not have a specialty in common. The professors were hired according to the following conditions: Madison was hired in 1993, Robinson in 1991. There is at least one specialty that Madison, Orozco, and Togo have in common. Nilsson shares a specialty with Robinson. Paton and Sarkis were each hired at least one year before Madison and at least one year after Nilsson. Orozco, who shares a specialty with Sarkis, was hired in 1990.

# Question:
If exactly two professors were hired in 1992, then which one of the following could be true?

# Options:
A) Orozco, Paton, and Togo share a specialty.
B) Madison, Paton, and Togo share a specialty.
C) Exactly two professors were hired in 1991.
D) Exactly two professors were hired in 1993.
E) Paton was hired in 1991.","# Declarations
professors = EnumSort([Madison, Nilsson, Orozco, Paton, Robinson, Sarkis, Togo])
years = EnumSort([1989, 1990, 1991, 1992, 1993, 1994, 1995])
specialties = EnumSort([specialty1, specialty2, specialty3, specialty4, specialty5, specialty6, specialty7])
hired_in = Function([professors] -> [years])
has_specialty = Function([professors, specialties] -> [bool])
# Constraints
ForAll([p:professors], Exists([y:years], hired_in(p) == y)) ::: Each professor was hired in exactly one year
ForAll([p1:professors, p2:professors], Implies(And(hired_in(p1) == hired_in(p2), p1 != p2), ForAll([s:specialties], Not(And(has_specialty(p1, s), has_specialty(p2, s)))))) ::: Any two professors hired in the same year do not have a specialty in common
ForAll([p1:professors, p2:professors], Implies(And(Abs(hired_in(p1) - hired_in(p2)) == 1, p1 != p2), ForAll([s:specialties], Not(And(has_specialty(p1, s), has_specialty(p2, s)))))) ::: Any two professors hired in consecutive years do not have a specialty in common
hired_in(Madison) == 1993 ::: Madison was hired in 1993
hired_in(Robinson) == 1991 ::: Robinson was hired in 1991
Exists([s:specialties], And(has_specialty(Madison, s), has_specialty(Orozco, s), has_specialty(Togo, s))) ::: There is at least one specialty that Madison, Orozco, and Togo have in common
Exists([s:specialties], And(has_specialty(Nilsson, s), has_specialty(Robinson, s))) ::: Nilsson shares a specialty with Robinson
hired_in(Paton) > hired_in(Nilsson) ::: Paton was hired at least one year after Nilsson
hired_in(Paton) < 1993 ::: Paton was hired at least one year before Madison
hired_in(Sarkis) > hired_in(Nilsson) ::: Sarkis was hired at least one year after Nilsson
hired_in(Sarkis) < 1993 ::: Sarkis was hired at least one year before Madison
hired_in(Orozco) == 1990 ::: Orozco was hired in 1990
Exists([s:specialties], And(has_specialty(Orozco, s), has_specialty(Sarkis, s))) ::: Orozco shares a specialty with Sarkis
Count([p:professors], hired_in(p) == 1992) == 2 ::: Exactly two professors were hired in 1992
# Options
is_valid(Exists([s:specialties], And(has_specialty(Orozco, s), has_specialty(Paton, s), has_specialty(Togo, s)))) ::: (A)
is_valid(Exists([s:specialties], And(has_specialty(Madison, s), has_specialty(Paton, s), has_specialty(Togo, s)))) ::: (B)
is_valid(Count([p:professors], hired_in(p) == 1991) == 2) ::: (C)
is_valid(Count([p:professors], hired_in(p) == 1993) == 2) ::: (D)
is_valid(hired_in(Paton) == 1991) ::: (E)"
