input,output
"Premises:
1.People are either interested in puzzles or bad at chess.
2.If a person is bad at chess, then they don't play a lot of chess.
3.A person is either a planner or a creative person.
4.Erica is someone who plays a lot of chess.
5.If Erica is neither bad at chess nor creative, then Erica is either someone who plans and is creative, or someone who neither plans nor is creative.

Conclusion:
Erica plans.","We can get these predicates:
Puzzles(x),BadChess(x),PlaysLots(x),Plans(x),Creative(x)
We can get these constants:
erica
Let's translate one by one.
Premises:
1.Text:People are either interested in puzzles or bad at chess.
Predicates:
Puzzles(x),BadChess(x)
Fol:∀x (Puzzles(x) ∨ BadChess(x))
2.Text:If a person is bad at chess, then they don't play a lot of chess.
Predicates:
BadChess(x),PlaysLots(x)
Fol:∀x (BadChess(x) → ¬PlaysLots(x))
3.Text:A person is either a planner or a creative person.
Predicates:
Plans(x),Creative(x)
Fol:∀x (Plans(x) ∨ Creative(x))
4.Text:Erica is someone who plays a lot of chess.
Predicates:
PlaysLots(x)
Constants:
erica
Fol:PlaysLots(erica)
5.Text:If Erica is neither bad at chess nor creative, then Erica is either someone who plans and is creative, or someone who neither plans nor is creative.
Predicates:
Creative(x),BadChess(x),Plans(x)
Constants:
erica
Fol:¬(BadChess(erica) ∨ Creative(erica)) → (Plans(erica) ⊕ Creative(erica))
Conclusion:
Text:Erica plans.
Predicates:
Plans(x)
Constants:
erica
Fol:Plans(erica)"
"Premises:
1.All cats are cute.
2.Ghosts do not exist.
3.An animal is either a cat or a dog.
4.Nothing that barks is lovely.
5.If something is a dog, then it barks.
6.Grace is either a cat and a dog, or neither a cat nor a dog.

Conclusion:
If Grace is either both cute and lovely, or neither cute nor lovely, then Grace is either a dog or a ghost.","We can get these predicates:
Cat(x),Cute(x),Ghost(x),Dog(x),Bark(x),Lovely(x)
We can get these constants:
grace
Let's translate one by one.
Premises:
1.Text:All cats are cute.
Predicates:
Cat(x),Cute(x)
Fol:∀x (Cat(x) → Cute(x))
2.Text:Ghosts do not exist.
Predicates:
Ghost(x)
Fol:∀x (¬Ghost(x))
3.Text:An animal is either a cat or a dog.
Predicates:
Cat(x),Dog(x)
Fol:∀x (Cat(x) ∨ Dog(x))
4.Text:Nothing that barks is lovely.
Predicates:
Bark(x),Lovely(x)
Fol:∀x (Bark(x) → ¬Lovely(x))
5.Text:If something is a dog, then it barks.
Predicates:
Bark(x),Dog(x)
Fol:∀x (Dog(x) → Bark(x))
6.Text:Grace is either a cat and a dog, or neither a cat nor a dog.
Predicates:
Cat(x),Dog(x)
Constants:
grace
Fol:(Cat(grace) ∧ Dog(grace)) ⊕ (¬Cat(grace) ∧ ¬Dog(grace))
Conclusion:
Text:If Grace is either both cute and lovely, or neither cute nor lovely, then Grace is either a dog or a ghost.
Predicates:
Dog(x),Lovely(x),Ghost(x),Cute(x)
Constants:
grace
Fol:((Cute(grace) ∧ Lovely(grace)) ⊕ (¬Cute(grace) ∧ ¬Lovely(grace))) → (Dog(grace) ∨ Ghost(grace))"
"Premises:
1.Herodicus was a Greek physician, dietician, sophist, and gymnastic-master.
2.Herodicus was born in the city of Selymbria.
3.Selymbria is a colony of the city-state Megara.
4.One of the tutors of Hippocrates was Herodicus.
5.Massages were recommended by Herodicus.
6.Some of theories of Herodicus are considered to be the foundation of sports medicine.

Conclusion:
Herodicus did not recommend massages.","We can get these predicates:
Greek(x),Physician(x),Dietician(x),Sophist(x),GymnasticMaster(x),Born(x,y),City(x),Colony(x,y),CityState(x),Tutored(x,y),Recommended(x,y),Theory(x),From(x,y),FoundationOf(x,y)
We can get these constants:
sportsMedicine,herodicus
Let's translate one by one.
Premises:
1.Text:Herodicus was a Greek physician, dietician, sophist, and gymnastic-master.
Predicates:
Sophist(x),Physician(x),GymnasticMaster(x),Greek(x),Dietician(x)
Constants:
herodicus
Fol:Greek(herodicus) ∧ Physician(herodicus) ∧ Dietician(herodicus) ∧ Sophist(herodicus) ∧ GymnasticMaster(herodicus)
2.Text:Herodicus was born in the city of Selymbria.
Predicates:
Born(x,y),City(x)
Constants:
selymbia,herodicus
Fol:Born(herodicus, selymbia) ∧ City(selymbia)
3.Text:Selymbria is a colony of the city-state Megara.
Predicates:
CityState(x),Colony(x,y)
Constants:
selymbia,megara
Fol:Colony(selymbia, megara) ∧ CityState(megara)
4.Text:One of the tutors of Hippocrates was Herodicus.
Predicates:
Tutored(x,y)
Constants:
hippocrates,herodicus
Fol:Tutored(herodicus, hippocrates)
5.Text:Massages were recommended by Herodicus.
Predicates:
Recommended(x,y)
Constants:
herodicus,massages
Fol:Recommended(herodicus, massages)
6.Text:Some of theories of Herodicus are considered to be the foundation of sports medicine.
Predicates:
FoundationOf(x,y),Theory(x),From(x,y)
Constants:
herodicus,sportsMedicine
Fol:∃x (Theory(x) ∧ From(x, herodicus) ∧ FoundationOf(x, sportsMedicine))
Conclusion:
Text:Herodicus did not recommend massages.
Predicates:
Recommended(x,y)
Constants:
herodicus,massages
Fol:¬Recommended(herodicus, massages)"
"Premises:
1.China is one of BRICS and its economy is emerging.
2.India is one of BRICS and its economy is emerging.
3.All people from China speak Chinese.
4.All people from India speak Hindi or English.
5.There is an Indian.

Conclusion:
All people from BRICS neither speak Hindi nor speak English.","We can get these predicates:
China(x),BRICS(x),EmergingEconomy(x),India(x),From(x,y),Speak(x,y)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:China is one of BRICS and its economy is emerging.
Predicates:
BRICS(x),EmergingEconomy(x),China(x)
Fol:∀x (China(x) → BRICS(x) ∧ EmergingEconomy(x))
2.Text:India is one of BRICS and its economy is emerging.
Predicates:
EmergingEconomy(x),BRICS(x),India(x)
Fol:∀x (India(x) → BRICS(x) ∧ EmergingEconomy(x))
3.Text:All people from China speak Chinese.
Predicates:
Speak(x,y),From(x,y),China(x)
Constants:
chinese
Fol:∀x ∀y (From(x, y) ∧ China(y) → Speak(x, chinese))
4.Text:All people from India speak Hindi or English.
Predicates:
Speak(x,y),From(x,y),India(x)
Constants:
hindi,english
Fol:∀x ∀y (From(x, y) ∧ India(y) → Speak(x, hindi) ∨ Speak(x, english))
5.Text:There is an Indian.
Predicates:
From(x,y),India(x)
Fol:∃x ∃y (From(x, y) ∧ India(y))
Conclusion:
Text:All people from BRICS neither speak Hindi nor speak English.
Predicates:
Speak(x,y),BRICS(x),From(x,y)
Constants:
hindi,english
Fol:∀x ∀y (From(x, y) ∧ BRICS(y) → ¬Speak(x, hindi) ∧ ¬Speak(x, english))"
"Premises:
1.All young working professionals who have regular 9-5 jobs also have pets.
2.Some people who live in Manhattan are young working professionals who have regular 9-5 jobs.
3.All people who have pets are people who have at least one child.
4.People who do not have at least one child are people who own a sports car.
5.Mary either does not own a sports car or, if they do, then they do not have at least one child.

Conclusion:
If Mary is a young working professional who has a regular 9-5 job, then Mary does not live in Manhattan.","We can get these predicates:
Working(x),Pets(x),Manhattan(x),Child(x),Car(x)
We can get these constants:
mary
Let's translate one by one.
Premises:
1.Text:All young working professionals who have regular 9-5 jobs also have pets.
Predicates:
Pets(x),Working(x)
Fol:∀x (Working(x) → Pets(x))
2.Text:Some people who live in Manhattan are young working professionals who have regular 9-5 jobs.
Predicates:
Working(x),Manhattan(x)
Fol:∃x (Manhattan(x) ∧ Working(x))
3.Text:All people who have pets are people who have at least one child.
Predicates:
Pets(x),Child(x)
Fol:∀x (Pets(x) → Child(x))
4.Text:People who do not have at least one child are people who own a sports car.
Predicates:
Child(x),Car(x)
Fol:∀x (Child(x) → ¬Car(x))
5.Text:Mary either does not own a sports car or, if they do, then they do not have at least one child.
Predicates:
Child(x),Car(x)
Constants:
mary
Fol:¬(Car(mary) ⊕ Child(mary))
Conclusion:
Text:If Mary is a young working professional who has a regular 9-5 job, then Mary does not live in Manhattan.
Predicates:
Manhattan(x),Working(x)
Constants:
mary
Fol:Working(mary) → ¬Manhattan(mary)"
"Premises:
1.Ann J. Land was a member of the Philadelphia City Council and was also a member of the Democratic Party.
2.Ann J. Land ran unopposed for the Philadephia City Council in 1980.
3.People who run unopposed for the Philadelphia City Council are elected to the positions they run for in the same year.
4.Michael Nutter was a political challenger.
5.Ann J. Land defeated Michael Nutter and ran for the Philadelphia City Council in 1987.

Conclusion:
Ann J. Land was elected to the Philadelphia City Council in 1987.","We can get these predicates:
PhiladephiaCouncil(x),DemocraticParty(x),Year(x),RunFor(x),Elected(x),Challenger(x),Defeated(x,y)
We can get these constants:
nutter,annJLand
Let's translate one by one.
Premises:
1.Text:Ann J. Land was a member of the Philadelphia City Council and was also a member of the Democratic Party.
Predicates:
PhiladephiaCouncil(x),DemocraticParty(x)
Constants:
annJLand
Fol:PhiladephiaCouncil(annJLand) ∧ DemocraticParty(annJLand)
2.Text:Ann J. Land ran unopposed for the Philadephia City Council in 1980.
Predicates:
PhiladephiaCouncil(x),Year(x),RunFor(x)
Constants:
annJLand
Fol:Year(y1980) → PhiladephiaCouncil(annJLand) ∧ RunFor(annJLand)
3.Text:People who run unopposed for the Philadelphia City Council are elected to the positions they run for in the same year.
Predicates:
PhiladephiaCouncil(x),Elected(x),RunFor(x)
Fol:∀x (RunFor(x) ∧ PhiladephiaCouncil(x) → Elected(x))
4.Text:Michael Nutter was a political challenger.
Predicates:
Challenger(x)
Constants:
nutter
Fol:Challenger(nutter)
5.Text:Ann J. Land defeated Michael Nutter and ran for the Philadelphia City Council in 1987.
Predicates:
PhiladephiaCouncil(x),Defeated(x,y),Year(x),RunFor(x)
Constants:
nutter,annJLand
Fol:Year(y1987) → PhiladephiaCouncil(annJLand) ∧ RunFor(annJLand) ∧ Defeated(annJLand, nutter)
Conclusion:
Text:Ann J. Land was elected to the Philadelphia City Council in 1987.
Predicates:
Year(x),Elected(x)
Constants:
annJLand
Fol:Year(y1987) → Elected(annJLand)"
"Premises:
1.If the game has sold more than 1 million copies, then it is on the Best Seller list.
2.All Games developed by Paradox Development Studio sold more than 1 million copies.
3.Some games published before 2010 support the Linux OS system.
4.All games on the Best Seller list are popular among young people.
5.FIFA22 neither supports the Linux OS system nor is it popular among young people.

Conclusion:
FIFA21 is published before 2010 and developed by Paradox Development Studio","We can get these predicates:
SoldMillion(x),BestSeller(x),DevelopedByParadox(x),PublishedBefore2010(x),SupportLinuxSystem(x),Popular(x)
We can get these constants:
fifa21
Let's translate one by one.
Premises:
1.Text:If the game has sold more than 1 million copies, then it is on the Best Seller list.
Predicates:
SoldMillion(x),BestSeller(x)
Fol:∀x (SoldMillion(x) → BestSeller(x))
2.Text:All Games developed by Paradox Development Studio sold more than 1 million copies.
Predicates:
SoldMillion(x),DevelopedByParadox(x)
Fol:∀x (DevelopedByParadox(x) → SoldMillion(x))
3.Text:Some games published before 2010 support the Linux OS system.
Predicates:
PublishedBefore2010(x),SupportLinuxSystem(x)
Fol:∃x ((PublishedBefore2010(x) ∧ SupportLinuxSystem(x)))
4.Text:All games on the Best Seller list are popular among young people.
Predicates:
Popular(x),BestSeller(x)
Fol:∀x (BestSeller(x) → Popular(x))
5.Text:FIFA22 neither supports the Linux OS system nor is it popular among young people.
Predicates:
Popular(x),SupportLinuxSystem(x)
Constants:
fifa21
Fol:¬(SupportLinuxSystem(fifa21) ∨ Popular(fifa21))
Conclusion:
Text:FIFA21 is published before 2010 and developed by Paradox Development Studio
Predicates:
DevelopedByParadox(x),PublishedBefore2010(x)
Constants:
fifa21
Fol:PublishedBefore2010(fifa21) ∧ DevelopedByParadox(fifa21)"
"Premises:
1.Daveed Diggs is an actor and film producer.
2.Daveed Diggs played two roles in the musical Hamilton.
3.One of the actors from Hamilton won the best actor award.
4.The actor playing Thomas Jefferson won the best actor award.
5.Daveed Diggs played Thomas Jefferson.
6.Musicals are not films.

Conclusion:
Hamilton is a film.","We can get these predicates:
Actor(x),FilmProducer(x),PlayedTwoRoles(x),PlayedIn(x,y),Musical(x),WonBestActorAward(x),Played(x,y),Film(x)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:Daveed Diggs is an actor and film producer.
Predicates:
FilmProducer(x),Actor(x)
Constants:
daveedDiggs
Fol:Actor(daveedDiggs) ∧ FilmProducer(daveedDiggs)
2.Text:Daveed Diggs played two roles in the musical Hamilton.
Predicates:
Musical(x),PlayedTwoRoles(x),PlayedIn(x,y)
Constants:
hamilton,daveedDiggs
Fol:PlayedTwoRoles(daveedDiggs) ∧ PlayedIn(daveedDiggs, hamilton) ∧ Musical(hamilton)
3.Text:One of the actors from Hamilton won the best actor award.
Predicates:
PlayedIn(x,y),Actor(x),WonBestActorAward(x)
Constants:
hamilton
Fol:∃x (Actor(x) ∧ PlayedIn(x, hamilton) ∧ WonBestActorAward(x))
4.Text:The actor playing Thomas Jefferson won the best actor award.
Predicates:
Played(x,y),Actor(x),WonBestActorAward(x)
Constants:
thomasJefferson
Fol:∀x (Actor(x) ∧ Played(x, thomasJefferson) → WonBestActorAward(x))
5.Text:Daveed Diggs played Thomas Jefferson.
Predicates:
Played(x,y)
Constants:
daveedDiggs,thomasJefferson
Fol:Played(daveedDiggs, thomasJefferson)
6.Text:Musicals are not films.
Predicates:
Musical(x),Film(x)
Fol:∀x (Musical(x) → ¬Film(x))
Conclusion:
Text:Hamilton is a film.
Predicates:
Film(x)
Constants:
hamilton
Fol:Film(hamilton)"
"Premises:
1.The PlayStation EyeToy is a camera accessory for the Playstation 2.
2.The PlayStation Eye is a camera accessory for the Playstation 3.
3.The Playstation Camera is a camera accessory for the Playstation 4 and the Playstation 5.
4.Camera accessory for the system is compatible with that system
5.Only the Playstation Camera is compatible with more than one system.

Conclusion:
The Playstation EyeToy is compatible with the Playstation 2.","We can get these predicates:
Accessory(x,y),Compatible(x,y)
We can get these constants:
ps5,pseyetoy,ps3,ps2,pseye,ps4
Let's translate one by one.
Premises:
1.Text:The PlayStation EyeToy is a camera accessory for the Playstation 2.
Predicates:
Accessory(x,y)
Constants:
ps2,pseyetoy
Fol:Accessory(pseyetoy, ps2)
2.Text:The PlayStation Eye is a camera accessory for the Playstation 3.
Predicates:
Accessory(x,y)
Constants:
ps3,pseye
Fol:Accessory(pseye, ps3)
3.Text:The Playstation Camera is a camera accessory for the Playstation 4 and the Playstation 5.
Predicates:
Accessory(x,y)
Constants:
ps4,pscamera,ps5
Fol:Accessory(pscamera, ps4) ∧ Accessory(pscamera, ps5)
4.Text:Camera accessory for the system is compatible with that system
Predicates:
Compatible(x,y),Accessory(x,y)
Fol:∀x ∀y (Accessory(x, y) → Compatible(x, y))
5.Text:Only the Playstation Camera is compatible with more than one system.
Predicates:
Compatible(x,y)
Constants:
ps5,ps4,ps2,pseye,ps3,pseyetoy
Fol:¬Compatible(pseye, ps2) ∧ ¬Compatible(pseye, ps4)∧¬Compatible(pseye, ps5)∧¬Compatible(pseyetoy, ps3)∧¬Compatible(pseyetoy, ps4)∧¬Compatible(pseyetoy, ps5)
Conclusion:
Text:The Playstation EyeToy is compatible with the Playstation 2.
Predicates:
Compatible(x,y)
Constants:
ps2,pseyetoy
Fol:Compatible(pseyetoy, ps2)"
"Premises:
1.A cutman is responsible for preventing and treating physical damage to a fighter.
2.Cutmen appear in matches such as a boxing, kickboxing or a mixed martial arts bout.
3.Cutmen typically handle swelling, nosebleeds and lacerations.
4.Jack is a cutman.

Conclusion:
Jack can treat physical damage.","We can get these predicates:
Cutman(x),Prevent(x,y),Treat(x,y),Appear(x,y),Handle(x,y)
We can get these constants:
jack
Let's translate one by one.
Premises:
1.Text:A cutman is responsible for preventing and treating physical damage to a fighter.
Predicates:
Prevent(x,y),Cutman(x),Treat(x,y)
Constants:
physicalDamage
Fol:∀x (Cutman(x) → Prevent(x, physicalDamage) ∧ Treat(x, physicalDamage))
2.Text:Cutmen appear in matches such as a boxing, kickboxing or a mixed martial arts bout.
Predicates:
Cutman(x),Appear(x,y)
Constants:
mixedMartialBout,boxing,kickboxing
Fol:∀x (Cutman(x) → Appear(x, boxing) ∨ Appear(x, kickboxing) ∨ Appear(x, mixedMartialBout))
3.Text:Cutmen typically handle swelling, nosebleeds and lacerations.
Predicates:
Handle(x,y),Cutman(x)
Constants:
lacerations,nosebleeds,swelling
Fol:∀x (Cutman(x) → Handle(x, swelling) ∧ Handle(x, nosebleeds) ∧ Handle(x, lacerations))
4.Text:Jack is a cutman.
Predicates:
Cutman(x)
Constants:
jack
Fol:Cutman(jack)
Conclusion:
Text:Jack can treat physical damage.
Predicates:
Treat(x,y)
Constants:
jack,physicalDamage
Fol:Treat(jack, physicalDamage)"
"Premises:
1.All professors are teachers.
2.All researchers are professors.
3.No teachers are students.
4.All people who study are students.
5.Leon is not studying or a researcher.
6.If Leon is not studying, then Leon is a teacher.

Conclusion:
If Leon is not a researcher, then Leon is a student.","We can get these predicates:
Professor(x),Teacher(x),Researcher(x),Student(x),Study(x)
We can get these constants:
leon
Let's translate one by one.
Premises:
1.Text:All professors are teachers.
Predicates:
Teacher(x),Professor(x)
Fol:∀x (Professor(x) → Teacher(x))
2.Text:All researchers are professors.
Predicates:
Professor(x),Researcher(x)
Fol:∀x (Researcher(x) → Professor(x))
3.Text:No teachers are students.
Predicates:
Teacher(x),Student(x)
Fol:∀x (Teacher(x) → ¬Student(x))
4.Text:All people who study are students.
Predicates:
Student(x),Study(x)
Fol:∀x (Study(x) → Student(x))
5.Text:Leon is not studying or a researcher.
Predicates:
Researcher(x),Study(x)
Constants:
leon
Fol:¬Study(leon) ⊕ Researcher(leon)
6.Text:If Leon is not studying, then Leon is a teacher.
Predicates:
Teacher(x),Study(x)
Constants:
leon
Fol:¬Study(leon) → Teacher(leon)
Conclusion:
Text:If Leon is not a researcher, then Leon is a student.
Predicates:
Researcher(x),Student(x)
Constants:
leon
Fol:¬Researcher(leon) → Student(leon)"
"Premises:
1.Diethylcarbamazine is a medication discovered in the year 1947.
2.Diethylcarbamazine can be used to treat river blindness.
3.The only preferred treatment for river blindness is ivermectin.
4.Diethylcarbamazine is not ivermectin.

Conclusion:
Diethylcarbamazine was often used to treat river blindness.","We can get these predicates:
Diethylcarbamazine(x),Medication(x),DiscoveredIn(x,y),RiverBlindness(x),Treats(x,y),PreferredTreatment(x,y),Ivermectin(x),OftenUsedToTreat(x,y)
We can get these constants:

Let's translate one by one.
Premises:
1.Text:Diethylcarbamazine is a medication discovered in the year 1947.
Predicates:
Diethylcarbamazine(x),Medication(x),DiscoveredIn(x,y)
Fol:∀x (Diethylcarbamazine(x) ∧ Medication(x) ∧ DiscoveredIn(x, year1947))
2.Text:Diethylcarbamazine can be used to treat river blindness.
Predicates:
RiverBlindness(x),Treats(x,y),Diethylcarbamazine(x)
Fol:∀x ∀y (Diethylcarbamazine(x) ∧ RiverBlindness(y) → Treats(x, y))
3.Text:The only preferred treatment for river blindness is ivermectin.
Predicates:
RiverBlindness(x),PreferredTreatment(x,y),Ivermectin(x)
Fol:∀x ∀y (RiverBlindness(y) ∧ PreferredTreatment(x, y) → Ivermectin(x))
4.Text:Diethylcarbamazine is not ivermectin.
Predicates:
Ivermectin(x),Diethylcarbamazine(x)
Fol:∀x (Diethylcarbamazine(x) → ¬Ivermectin(x))
Conclusion:
Text:Diethylcarbamazine was often used to treat river blindness.
Predicates:
RiverBlindness(x),Diethylcarbamazine(x),OftenUsedToTreat(x,y)
Fol:∀x ∀y (Diethylcarbamazine(x) ∧ RiverBlindness(y) → OftenUsedToTreat(x, y))"
"Premises:
1.All univariate analyses use a generalized linear model.
2.All multivoxel (pattern) analyses are implementing machine learning algorithms.
3.All implementing machine learning algorithms are to learn and classify multivariate data.
4.The Latent Dirichlet allocation model uses a generalized linear model or a univariate analysis.
5.If the Latent Dirichlet allocation model does not learn and classify multivariate data, then the Latent Dirichlet allocation model uses a generalized linear model and a multivoxel (pattern) analysis.

Conclusion:
Latent Dirichlet allocation model uses a generalized linear model and learns and classifies multivariate data.","We can get these predicates:
UnivariateAnalysis(x),UsesGeneralizedLinearModel(x),MultivoxelPatternAnalysis(x),ImplementingMachineLearningAlgorithms(x),LearnAndClassifyMultivariateData(x)
We can get these constants:
latentDirichletAllocationModel
Let's translate one by one.
Premises:
1.Text:All univariate analyses use a generalized linear model.
Predicates:
UsesGeneralizedLinearModel(x),UnivariateAnalysis(x)
Fol:∀x (UnivariateAnalysis(x) → UsesGeneralizedLinearModel(x))
2.Text:All multivoxel (pattern) analyses are implementing machine learning algorithms.
Predicates:
ImplementingMachineLearningAlgorithms(x),MultivoxelPatternAnalysis(x)
Fol: ∀x (MultivoxelPatternAnalysis(x) → ImplementingMachineLearningAlgorithms(x))
3.Text:All implementing machine learning algorithms are to learn and classify multivariate data.
Predicates:
LearnAndClassifyMultivariateData(x),ImplementingMachineLearningAlgorithms(x)
Fol: ∀x (ImplementingMachineLearningAlgorithms(x) → LearnAndClassifyMultivariateData(x))
4.Text:The Latent Dirichlet allocation model uses a generalized linear model or a univariate analysis.
Predicates:
UsesGeneralizedLinearModel(x),UnivariateAnalysis(x)
Constants:
latentDirichletAllocationModel
Fol: UsesGeneralizedLinearModel(latentDirichletAllocationModel) ∨ UnivariateAnalysis(latentDirichletAllocationModel)
5.Text:If the Latent Dirichlet allocation model does not learn and classify multivariate data, then the Latent Dirichlet allocation model uses a generalized linear model and a multivoxel (pattern) analysis.
Predicates:
UsesGeneralizedLinearModel(x),LearnAndClassifyMultivariateData(x),MultivoxelPatternAnalysis(x)
Constants:
latentDirichletAllocationModel
Fol: ¬LearnAndClassifyMultivariateData(latentDirichletAllocationModel) → UsesGeneralizedLinearModel(latentDirichletAllocationModel) ∧ MultivoxelPatternAnalysis(latentDirichletAllocationModel)
Conclusion:
Text:Latent Dirichlet allocation model uses a generalized linear model and learns and classifies multivariate data.
Predicates:
UsesGeneralizedLinearModel(x),LearnAndClassifyMultivariateData(x)
Constants:
latentDirichletAllocationModel
Fol:UsesGeneralizedLinearModel(latentDirichletAllocationModel) ∧ LearnAndClassifyMultivariateData(latentDirichletAllocationModel)"
"Premises:
1.If people own at least one pet, then they do not have tidy houses.
2.If people grew up with childhood pets, then they own at least one pet.
3.If people hire a maid or cleaning service, then they have tidy houses.
4.If people live in the suburbs, then they have tidy houses.
5.Jack either does not hire a maid or cleaning service or, if he does, then he does not own at least one pet.

Conclusion:
Jack lives in the suburbs.","We can get these predicates:
OwnPet(x),TidyHouse(x),ChildhoodPet(x),HireCleaning(x),Suburbs(x)
We can get these constants:
jack
Let's translate one by one.
Premises:
1.Text:If people own at least one pet, then they do not have tidy houses.
Predicates:
OwnPet(x),TidyHouse(x)
Fol:∀x (OwnPet(x) → ¬TidyHouse(x))
2.Text:If people grew up with childhood pets, then they own at least one pet.
Predicates:
OwnPet(x),ChildhoodPet(x)
Fol:∀x (ChildhoodPet(x) → OwnPet(x))
3.Text:If people hire a maid or cleaning service, then they have tidy houses.
Predicates:
HireCleaning(x),TidyHouse(x)
Fol:∀x (HireCleaning(x) → TidyHouse(x))
4.Text:If people live in the suburbs, then they have tidy houses.
Predicates:
Suburbs(x),ChildhoodPet(x)
Fol:∀x (Suburbs(x) → ChildhoodPet(x))
5.Text:Jack either does not hire a maid or cleaning service or, if he does, then he does not own at least one pet.
Predicates:
OwnPet(x),HireCleaning(x)
Constants:
jack
Fol:¬(HireCleaning(jack) ⊕ OwnPet(jack))
Conclusion:
Text:Jack lives in the suburbs.
Predicates:
Suburbs(x)
Constants:
jack
Fol:Suburbs(jack)"
"Premises:
1.The indie pop band Phoenix has released 6 albums.
2.Phoenix's album ""Wolfgang Amadeus Phoenix"" sold over 500,000 copies.
3.A certified gold album or single is one which sold over half a million copies.
4.""1901"" is a single from Phoenix's album ""Wolfgang Amadeus Phoenix.""
5.Over 400,000 copies of ""1901"" have been sold.

Conclusion:
The album ""Wolfgang Amadeus Phoenix"" is a certified gold album.","We can get these predicates:
AlbumsReleased(x,y),Album(x),IsAlbumOf(x,y),SoldOver(x,y),Single(x),CertifiedGold(x),From(x,y),By(x,y)
We can get these constants:
l400000,l1901
Let's translate one by one.
Premises:
1.Text:The indie pop band Phoenix has released 6 albums.
Predicates:
AlbumsReleased(x,y)
Constants:
l6,phoenix
Fol:AlbumsReleased(phoenix, l6)
2.Text:Phoenix's album ""Wolfgang Amadeus Phoenix"" sold over 500,000 copies.
Predicates:
SoldOver(x,y),Album(x),IsAlbumOf(x,y)
Constants:
l500000,wolfgangamadeusphoenix,phoenix
Fol:Album(wolfgangamadeusphoenix) ∧ IsAlbumOf(wolfgangamadeusphoenix, phoenix) ∧ SoldOver(wolfgangamadeusphoenix, l500000)
3.Text:A certified gold album or single is one which sold over half a million copies.
Predicates:
SoldOver(x,y),Album(x),Single(x),CertifiedGold(x)
Constants:
l500000
Fol:∀x ((Album(x) ∨ Single(x)) ∧ SoldOver(x, l500000) → CertifiedGold(x))
4.Text:""1901"" is a single from Phoenix's album ""Wolfgang Amadeus Phoenix.""
Predicates:
Single(x),By(x,y),From(x,y)
Constants:
l1901,wolfgangamadeusphoenix,phoenix
Fol:Single(l1901) ∧ From(l1901, wolfgangamadeusphoenix) ∧ By(l1901, phoenix)
5.Text:Over 400,000 copies of ""1901"" have been sold.
Predicates:
SoldOver(x,y)
Constants:
l400000,l1901
Fol:SoldOver(l1901, l400000)
Conclusion:
Text:The album ""Wolfgang Amadeus Phoenix"" is a certified gold album.
Predicates:
CertifiedGold(x)
Constants:
wolfgangamadeusphoenix
Fol:CertifiedGold(wolfgangamadeusphoenix)"
"Premises:
1.If two soccer teams score the same number of goals in one UCL final during the regular time, they need to play for the extra time.
2.If two soccer teams score the same number of goals in one UCL final during both the regular time and extra time, they need to play the penalty shoot-out.
3.Real Madrid and Atlético Madrid both scored one goal in 2016 UCL final during the regular time.
4.Real Madrid and Atlético Madrid both scored zero goals in 2016 UCL final during the extra time.

Conclusion:
Real Madrid and Atlético Madrid needed to play a penalty shoot-out in 2016 UCL final.","We can get these predicates:
SoccerTeam(x),SameScore(x,y),During(x),PlayExtra(x,y),PlayPenalty(x,y)
We can get these constants:
atleticoMadrid,realMadrid,extraTime
Let's translate one by one.
Premises:
1.Text:If two soccer teams score the same number of goals in one UCL final during the regular time, they need to play for the extra time.
Predicates:
During(x),SoccerTeam(x),PlayExtra(x,y),SameScore(x,y)
Constants:
regularTime
Fol:∀x ∀y (SoccerTeam(x) ∧ SoccerTeam(y) ∧ SameScore(x, y) ∧ During(regularTime) → PlayExtra(x, y))
2.Text:If two soccer teams score the same number of goals in one UCL final during both the regular time and extra time, they need to play the penalty shoot-out.
Predicates:
During(x),PlayPenalty(x,y),SoccerTeam(x),SameScore(x,y)
Constants:
extraTime,regularTime
Fol:∀x ∀y (SoccerTeam(x) ∧ SoccerTeam(y) ∧ SameScore(x, y) ∧ During(regularTime) ∧ During(extraTime) → PlayPenalty(x, y))
3.Text:Real Madrid and Atlético Madrid both scored one goal in 2016 UCL final during the regular time.
Predicates:
During(x),SoccerTeam(x),SameScore(x,y)
Constants:
realMadrid,atleticoMadrid,regularTime
Fol:SoccerTeam(realMadrid) ∧ SoccerTeam(atleticoMadrid) ∧ SameScore(realMadrid, atleticoMadrid) ∧ During(regularTime)
4.Text:Real Madrid and Atlético Madrid both scored zero goals in 2016 UCL final during the extra time.
Predicates:
During(x),SoccerTeam(x),SameScore(x,y)
Constants:
realMadrid,extraTime,atleticoMadrid
Fol:SoccerTeam(realMadrid) ∧ SoccerTeam(atleticoMadrid) ∧ SameScore(realMadrid, atleticoMadrid) ∧ During(extraTime)
Conclusion:
Text:Real Madrid and Atlético Madrid needed to play a penalty shoot-out in 2016 UCL final.
Predicates:
PlayPenalty(x,y)
Constants:
realMadrid,atleticoMadrid
Fol:PlayPenalty(realMadrid, atleticoMadrid)"
